m_iPos:0   dParameter:0
m_iPos:1   dParameter:0.00200401
m_iPos:2   dParameter:0.00400802
m_iPos:3   dParameter:0.00601202
m_iPos:4   dParameter:0.00801603
m_iPos:5   dParameter:0.00935204
m_iPos:6   dParameter:0.011356
m_iPos:7   dParameter:0.0133601
m_iPos:8   dParameter:0.0153641
m_iPos:9   dParameter:0.0167001
m_iPos:10   dParameter:0.0187041
m_iPos:11   dParameter:0.0207081
m_iPos:12   dParameter:0.0227121
m_iPos:13   dParameter:0.0240481
m_iPos:14   dParameter:0.0260521
m_iPos:15   dParameter:0.0280561
m_iPos:16   dParameter:0.0300601
m_iPos:17   dParameter:0.0313961
m_iPos:18   dParameter:0.0334001
m_iPos:19   dParameter:0.0354041
m_iPos:20   dParameter:0.0374081
m_iPos:21   dParameter:0.0394122
m_iPos:22   dParameter:0.0407482
m_iPos:23   dParameter:0.0427522
m_iPos:24   dParameter:0.0447562
m_iPos:25   dParameter:0.0467602
m_iPos:26   dParameter:0.0480962
m_iPos:27   dParameter:0.0501002
m_iPos:28   dParameter:0.0521042
m_iPos:29   dParameter:0.0541082
m_iPos:30   dParameter:0.0554442
m_iPos:31   dParameter:0.0574482
m_iPos:32   dParameter:0.0594522
m_iPos:33   dParameter:0.0614562
m_iPos:34   dParameter:0.0627923
m_iPos:35   dParameter:0.0647963
m_iPos:36   dParameter:0.0668003
m_iPos:37   dParameter:0.0688043
m_iPos:38   dParameter:0.0701403
m_iPos:39   dParameter:0.0721443
m_iPos:40   dParameter:0.0741483
m_iPos:41   dParameter:0.0761523
m_iPos:42   dParameter:0.0781563
m_iPos:43   dParameter:0.0794923
m_iPos:44   dParameter:0.0814963
m_iPos:45   dParameter:0.0835003
m_iPos:46   dParameter:0.0855043
m_iPos:47   dParameter:0.0868403
